model_loss,accuracy,auc,tpr,tnr,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
Random_Forest_Dice_Loss_CustomTraining,0.7391304347826086,0.7386363636363636,0.7272727272727273,0.75,0.7386363636363636,0.7386363636363636,0.7386363636363636,23.0,0.7391304347826086,0.7391304347826086,0.7391304347826086,23.0
Random_Forest_Focal_Loss_CustomTraining,0.8260869565217391,0.8939393939393939,1.0,0.6666666666666666,0.8666666666666667,0.8333333333333333,0.823076923076923,23.0,0.8724637681159421,0.8260869565217391,0.8220735785953177,23.0
Random_Forest_Tv_0.1_0.9_CustomTraining,0.6086956521739131,0.6212121212121212,0.9090909090909091,0.3333333333333333,0.6777777777777778,0.6212121212121212,0.5801217038539555,23.0,0.6830917874396135,0.6086956521739131,0.5753593791339624,23.0
Random_Forest_Tv_0.2_0.8_CustomTraining,0.6086956521739131,0.6212121212121212,0.9090909090909091,0.3333333333333333,0.6777777777777778,0.6212121212121212,0.5801217038539555,23.0,0.6830917874396135,0.6086956521739131,0.5753593791339624,23.0
Random_Forest_Tv_0.3_0.7_CustomTraining,0.6521739130434783,0.6363636363636364,0.8181818181818182,0.5,0.675,0.6590909090909092,0.6461538461538461,23.0,0.6782608695652174,0.6521739130434783,0.6441471571906354,23.0
Random_Forest_Tv_0.4_0.6_CustomTraining,0.7391304347826086,0.7386363636363636,0.7272727272727273,0.75,0.7386363636363636,0.7386363636363636,0.7386363636363636,23.0,0.7391304347826086,0.7391304347826086,0.7391304347826086,23.0
Random_Forest_Tv_0.5_0.5_CustomTraining,0.7391304347826086,0.7386363636363636,0.7272727272727273,0.75,0.7386363636363636,0.7386363636363636,0.7386363636363636,23.0,0.7391304347826086,0.7391304347826086,0.7391304347826086,23.0
Random_Forest_Tv_0.6_0.4_CustomTraining,0.7391304347826086,0.7386363636363636,0.7272727272727273,0.75,0.7386363636363636,0.7386363636363636,0.7386363636363636,23.0,0.7391304347826086,0.7391304347826086,0.7391304347826086,23.0
Random_Forest_Tv_0.7_0.3_CustomTraining,0.8260869565217391,0.8219696969696969,0.7272727272727273,0.9166666666666666,0.8373015873015872,0.821969696969697,0.823076923076923,23.0,0.8350586611456177,0.8260869565217391,0.8240802675585285,23.0
Random_Forest_Tv_0.8_0.2_CustomTraining,0.8260869565217391,0.8219696969696969,0.7272727272727273,0.9166666666666666,0.8373015873015872,0.821969696969697,0.823076923076923,23.0,0.8350586611456177,0.8260869565217391,0.8240802675585285,23.0
Random_Forest_Tv_0.9_0.1_CustomTraining,0.8260869565217391,0.8219696969696969,0.7272727272727273,0.9166666666666666,0.8373015873015872,0.821969696969697,0.823076923076923,23.0,0.8350586611456177,0.8260869565217391,0.8240802675585285,23.0
Logistic_Regression_Dice_Loss_CustomTraining,0.5217391304347826,0.75,0.2727272727272727,0.75,0.5147058823529411,0.5113636363636364,0.486815415821501,23.0,0.5153452685421995,0.5217391304347826,0.49263603492371466,23.0
Logistic_Regression_Focal_Loss_CustomTraining,0.8695652173913043,0.7651515151515151,1.0,0.75,0.8928571428571428,0.875,0.8685714285714285,23.0,0.8975155279503105,0.8695652173913043,0.8680745341614906,23.0
Logistic_Regression_Tv_0.1_0.9_CustomTraining,0.4782608695652174,0.7954545454545454,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Logistic_Regression_Tv_0.2_0.8_CustomTraining,0.4782608695652174,0.803030303030303,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Logistic_Regression_Tv_0.3_0.7_CustomTraining,0.4782608695652174,0.8181818181818182,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Logistic_Regression_Tv_0.4_0.6_CustomTraining,0.4782608695652174,0.8181818181818182,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Logistic_Regression_Tv_0.5_0.5_CustomTraining,0.4782608695652174,0.8409090909090908,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Logistic_Regression_Tv_0.6_0.4_CustomTraining,0.4782608695652174,0.8712121212121213,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Logistic_Regression_Tv_0.7_0.3_CustomTraining,0.4782608695652174,0.8939393939393939,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Logistic_Regression_Tv_0.8_0.2_CustomTraining,0.4782608695652174,0.9090909090909091,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Logistic_Regression_Tv_0.9_0.1_CustomTraining,0.4782608695652174,0.8863636363636364,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Weighted_Logistic_Regression_Dice_Loss_CustomTraining,0.5217391304347826,0.75,0.2727272727272727,0.75,0.5147058823529411,0.5113636363636364,0.486815415821501,23.0,0.5153452685421995,0.5217391304347826,0.49263603492371466,23.0
