model_loss,accuracy,optimal_threshold,tpr,tnr,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
Random_Forest_Original_Loss,0.9781312127236581,0.5,0.9920948616600791,0.964,0.9785770813548591,0.9780474308300395,0.9781225658240711,503.0,0.9784983986552354,0.9781312127236581,0.9781251598939471,503.0
Random_Forest_Dice_Loss,0.9781312127236581,0.5210526315789473,0.9920948616600791,0.964,0.9785770813548591,0.9780474308300395,0.9781225658240711,503.0,0.9784983986552354,0.9781312127236581,0.9781251598939471,503.0
Random_Forest_Focal_Loss,0.9343936381709742,0.8578947368421053,0.8774703557312253,0.992,0.9399801587301587,0.9347351778656127,0.934217878755454,503.0,0.9402848780333869,0.9343936381709742,0.934197598822894,503.0
Random_Forest_Tversky_Loss,0.9761431411530815,0.31052631578947365,1.0,0.952,0.9773584905660377,0.976,0.9761219064497753,503.0,0.9772234517423759,0.9761431411530815,0.9761261533904365,503.0
Logistic_Regression_Original_Loss,0.9582504970178927,0.5,0.9723320158102767,0.944,0.9586736308958531,0.9581660079051384,0.9582339893004994,503.0,0.9585989602115071,0.9582504970178927,0.9582389416157173,503.0
Logistic_Regression_Dice_Loss,0.9562624254473161,0.5210526315789473,0.9683794466403162,0.944,0.9565795303500222,0.9561897233201581,0.9562484185222673,503.0,0.956516109369481,0.9562624254473161,0.9562530874972835,503.0
Logistic_Regression_Focal_Loss,0.5288270377733598,0.9,0.07114624505928854,0.992,0.7067287784679089,0.5315731225296443,0.4042696730281996,503.0,0.7078814895307245,0.5288270377733598,0.402645011748915,503.0
Logistic_Regression_Tversky_Loss,0.9542743538767395,0.4789473684210527,0.9762845849802372,0.932,0.9552507290478002,0.9541422924901186,0.9542389038538366,503.0,0.9551335640272729,0.9542743538767395,0.9542465002873158,503.0
Weighted_Logistic_Regression_Original_Loss,0.9582504970178927,0.5,0.9723320158102767,0.944,0.9586736308958531,0.9581660079051384,0.9582339893004994,503.0,0.9585989602115071,0.9582504970178927,0.9582389416157173,503.0
Weighted_Logistic_Regression_Dice_Loss,0.9562624254473161,0.5210526315789473,0.9683794466403162,0.944,0.9565795303500222,0.9561897233201581,0.9562484185222673,503.0,0.956516109369481,0.9562624254473161,0.9562530874972835,503.0
Weighted_Logistic_Regression_Focal_Loss,0.5288270377733598,0.9,0.07114624505928854,0.992,0.7067287784679089,0.5315731225296443,0.4042696730281996,503.0,0.7078814895307245,0.5288270377733598,0.402645011748915,503.0
Weighted_Logistic_Regression_Tversky_Loss,0.9542743538767395,0.4789473684210527,0.9762845849802372,0.932,0.9552507290478002,0.9541422924901186,0.9542389038538366,503.0,0.9551335640272729,0.9542743538767395,0.9542465002873158,503.0
