model_loss,accuracy,tpr,tnr,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
Random_Forest_Dice_Loss_CustomTraining,0.8260869565217391,0.75,0.9090909090909091,0.8346153846153846,0.8295454545454546,0.8257575757575758,23.0,0.8374581939799333,0.8260869565217391,0.8254281949934124,23.0
Random_Forest_Focal_Loss_CustomTraining,0.8260869565217391,0.75,0.9090909090909091,0.8346153846153846,0.8295454545454546,0.8257575757575758,23.0,0.8374581939799333,0.8260869565217391,0.8254281949934124,23.0
Random_Forest_Tversky_Loss_CustomTraining,0.8695652173913043,0.75,1.0,0.8928571428571428,0.875,0.8685714285714285,23.0,0.8975155279503105,0.8695652173913043,0.8680745341614906,23.0
Logistic_Regression_Dice_Loss_CustomTraining,0.782608695652174,0.6666666666666666,0.9090909090909091,0.8015873015873016,0.7878787878787878,0.780952380952381,23.0,0.8053830227743272,0.782608695652174,0.7801242236024845,23.0
Logistic_Regression_Focal_Loss_CustomTraining,0.6956521739130435,0.75,0.6363636363636364,0.6961538461538461,0.6931818181818181,0.6933333333333334,23.0,0.6959866220735785,0.6956521739130435,0.6944927536231884,23.0
Logistic_Regression_Tversky_Loss_CustomTraining,0.5217391304347826,1.0,0.0,0.2608695652173913,0.5,0.34285714285714286,23.0,0.2722117202268431,0.5217391304347826,0.35776397515527947,23.0
Weighted_Logistic_Regression_Dice_Loss_CustomTraining,0.782608695652174,0.6666666666666666,0.9090909090909091,0.8015873015873016,0.7878787878787878,0.780952380952381,23.0,0.8053830227743272,0.782608695652174,0.7801242236024845,23.0
Weighted_Logistic_Regression_Focal_Loss_CustomTraining,0.6956521739130435,0.75,0.6363636363636364,0.6961538461538461,0.6931818181818181,0.6933333333333334,23.0,0.6959866220735785,0.6956521739130435,0.6944927536231884,23.0
Weighted_Logistic_Regression_Tversky_Loss_CustomTraining,0.5217391304347826,1.0,0.0,0.2608695652173913,0.5,0.34285714285714286,23.0,0.2722117202268431,0.5217391304347826,0.35776397515527947,23.0
