longitude,latitude,bias_weight
120.17770731289376,13.77392487760521,1.0
73.09856945282877,0.2227856985176819,1.0
120.16274907718986,13.794650625371464,1.0
73.12467842754278,6.284054077790191,1.0
72.94347573047779,4.425815492462794,1.0
120.2578816052866,13.750312343347868,1.0
120.2146762565723,13.765226404847358,1.0
73.3912376496437,5.732142239446665,1.0
71.35542055425604,-6.183838694509109,1.0
120.18477262452691,13.772859818192138,1.0
73.44690364444796,5.839152653966453,1.0
120.2269486335419,13.767940100201304,1.0
72.3900446561892,-7.291719065024076,1.0
120.16967830454224,13.80620304669156,1.0
120.29306538838344,13.827629645995447,1.0
120.24108891118962,13.770610716063,1.0
120.19961720250264,13.743254601595048,1.0
120.14677528890918,13.78396610444744,1.0
120.40912336811756,13.638397070767684,1.0
120.2365450876905,13.714624388154116,1.0
75.54231078170714,11.966235691435744,0.5829894341072289
