model_loss,accuracy,optimal_threshold,tpr,tnr,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
Random_Forest_Original_Loss,0.945054945054945,0.5,0.9565217391304348,0.9333333333333333,0.945357833655706,0.9449275362318841,0.9450283919294431,91.0,0.9452568707887856,0.945054945054945,0.9450416684921941,91.0
Random_Forest_Dice_Loss,0.978021978021978,0.6894736842105262,0.9565217391304348,1.0,0.9787234042553192,0.9782608695652174,0.9780193236714976,91.0,0.9789572129997661,0.978021978021978,0.978016669321017,91.0
Random_Forest_Focal_Loss,0.978021978021978,0.6894736842105262,0.9565217391304348,1.0,0.9787234042553192,0.9782608695652174,0.9780193236714976,91.0,0.9789572129997661,0.978021978021978,0.978016669321017,91.0
Random_Forest_Tversky_Loss,0.9560439560439561,0.1,1.0,0.9111111111111111,0.96,0.9555555555555555,0.9559108527131783,91.0,0.9595604395604395,0.9560439560439561,0.9559374733793339,91.0
Logistic_Regression_Original_Loss,0.9560439560439561,0.5,1.0,0.9111111111111111,0.96,0.9555555555555555,0.9559108527131783,91.0,0.9595604395604395,0.9560439560439561,0.9559374733793339,91.0
Logistic_Regression_Dice_Loss,0.967032967032967,0.5631578947368421,1.0,0.9333333333333333,0.9693877551020409,0.9666666666666667,0.9669691470054447,91.0,0.9690513568064588,0.967032967032967,0.9669851020123253,91.0
Logistic_Regression_Focal_Loss,0.967032967032967,0.5631578947368421,1.0,0.9333333333333333,0.9693877551020409,0.9666666666666667,0.9669691470054447,91.0,0.9690513568064588,0.967032967032967,0.9669851020123253,91.0
Logistic_Regression_Tversky_Loss,0.967032967032967,0.5631578947368421,1.0,0.9333333333333333,0.9693877551020409,0.9666666666666667,0.9669691470054447,91.0,0.9690513568064588,0.967032967032967,0.9669851020123253,91.0
Weighted_Logistic_Regression_Original_Loss,0.945054945054945,0.5,1.0,0.8888888888888888,0.9509803921568627,0.9444444444444444,0.944815039417829,91.0,0.9504417151475976,0.945054945054945,0.9448550236906818,91.0
Weighted_Logistic_Regression_Dice_Loss,0.967032967032967,0.5631578947368421,1.0,0.9333333333333333,0.9693877551020409,0.9666666666666667,0.9669691470054447,91.0,0.9690513568064588,0.967032967032967,0.9669851020123253,91.0
Weighted_Logistic_Regression_Focal_Loss,0.967032967032967,0.5631578947368421,1.0,0.9333333333333333,0.9693877551020409,0.9666666666666667,0.9669691470054447,91.0,0.9690513568064588,0.967032967032967,0.9669851020123253,91.0
Weighted_Logistic_Regression_Tversky_Loss,0.967032967032967,0.5631578947368421,1.0,0.9333333333333333,0.9693877551020409,0.9666666666666667,0.9669691470054447,91.0,0.9690513568064588,0.967032967032967,0.9669851020123253,91.0
