ecoregion,species,model,loss_function,model_loss,accuracy,tpr
Central_Deccan_Plateau_dry_deciduous_forests,Dalbergia sissoo,RF,Dice,RF_Dice,1.0,1.0
Deccan_thorn_scrub_forests,Dalbergia sissoo,RF,Dice,RF_Dice,0.9166666666666666,1.0
East_Deccan_moist_deciduous_forests,Dalbergia sissoo,RF,Dice,RF_Dice,1.0,1.0
Khathiar_Gir_dry_deciduous_forests,Dalbergia sissoo,RF,Dice,RF_Dice,0.8333333333333334,0.8571428571428571
Lower_Gangetic_Plains_moist_deciduous_forests,Dalbergia sissoo,RF,Dice,RF_Dice,1.0,1.0
Malabar_Coast_moist_forests,Dalbergia sissoo,RF,Dice,RF_Dice,0.92,1.0
Narmada_Valley_dry_deciduous_forests,Dalbergia sissoo,RF,Dice,RF_Dice,1.0,1.0
South_Deccan_Plateau_dry_deciduous_forests,Dalbergia sissoo,RF,Dice,RF_Dice,0.9444444444444444,0.9
Upper_Gangetic_Plains_moist_deciduous_forests,Dalbergia sissoo,RF,Dice,RF_Dice,0.9230769230769232,1.0
