longitude,latitude
76.412273,27.364386
76.412273,27.364386
73.853419,18.495849
73.889287,18.547426
73.889287,18.547426
73.889287,18.547426
73.889287,18.547426
73.766413,18.46178
73.493552,18.886134
73.4944,18.886341
73.413131,18.657982
73.413166,18.65857
73.485475,18.552406
73.41193,18.605983
73.484697,18.551283
73.412232,18.603798
73.48882,18.552937
73.483153,18.552036
73.482592,18.552174
72.704,24.593622
76.271083,24.829989
73.552597,22.405701
77.167521,9.603703
73.751573,18.679077
78.20379,17.31214
78.199902,17.334764
77.577467,12.792718
77.49067,10.233975
76.9502,8.49139
75.23018,12.15882
75.29377,12.1132
76.9502,8.49139
76.77137,9.18342
75.57842,11.62616
75.57842,11.62616
75.57842,11.62616
75.57842,11.62616
75.57842,11.62616
77.04205,8.38106
75.79177,11.55853
75.79398,11.50832
76.9502,8.49139
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
75.43054,11.82399
75.24298,12.14888
77.05285,8.34321
76.9502,8.49139
77.04205,8.38106
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
76.07928,11.67073
76.44443,9.28242
76.57853,9.39771
75.43054,11.82399
76.9502,8.49139
76.57853,9.39771
77.04205,8.38106
76.77137,9.18342
75.57842,11.62616
75.57842,11.62616
75.57842,11.62616
75.57842,11.62616
76.57853,9.39771
75.57842,11.62616
75.57842,11.62616
76.57853,9.39771
75.57842,11.62616
76.57853,9.39771
75.57842,11.62616
75.57842,11.62616
78.51897,11.64214
77.04205,8.38106
77.04205,8.38106
75.79177,11.55853
77.04205,8.38106
78.51541,11.62044
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
76.57853,9.39771
78.51897,11.64214
75.79597,11.93504
75.80327,11.92968
75.65308,11.48703
75.79581,11.55869
75.79177,11.55853
77.04205,8.38106
76.9502,8.49139
76.57853,9.39771
77.04205,8.38106
77.05285,8.34321
94.72919,26.90536
77.22586,9.58083
76.57853,9.39771
76.68785,9.09474
77.05285,8.34321
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
77.05285,8.34321
77.04205,8.38106
76.57853,9.39771
75.41658,11.85117
76.68889,9.09639
76.68785,9.09474
76.68889,9.09639
77.04205,8.38106
75.57842,11.62616
77.04205,8.38106
77.04205,8.38106
75.59366,11.59318
76.57853,9.39771
75.57842,11.62616
76.9502,8.49139
76.57853,9.39771
77.04205,8.38106
76.57853,9.39771
75.57842,11.62616
75.57842,11.62616
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
75.81124,11.56273
75.79177,11.55853
75.79177,11.55853
75.79811,11.57054
77.04205,8.38106
76.57853,9.39771
75.57842,11.62616
76.9502,8.49139
75.43054,11.82399
74.50785,15.83327
76.57853,9.39771
88.23503,22.57151
76.64026,9.02272
77.41336,28.50974
75.42931,11.82282
76.62939,9.10828
75.43054,11.82399
88.68756,26.98664
88.68756,26.98664
75.31392,12.06447
76.9502,8.49139
77.05285,8.34321
77.04205,8.38106
77.05285,8.34321
76.9502,8.49139
76.57853,9.39771
75.36865,12.0194
77.04205,8.38106
76.57853,9.39771
75.57842,11.62616
75.57842,11.62616
76.9502,8.49139
76.57853,9.39771
76.57853,9.39771
75.57842,11.62616
75.57842,11.62616
75.57842,11.62616
77.41336,28.50974
88.68756,26.98664
75.28297,12.07318
75.23492,12.09929
75.57842,11.62616
75.57842,11.62616
76.77346,9.18887
76.9502,8.49139
77.04205,8.38106
75.4265,11.82272
75.57842,11.62616
75.43054,11.82399
76.57853,9.39771
75.57842,11.62616
75.7859,11.84627
88.23334,22.57222
76.57853,9.39771
73.2456,20.42756
75.59656,11.6104
76.9502,8.49139
75.57842,11.62616
76.9502,8.49139
76.77346,9.18887
76.77346,9.18887
76.57853,9.39771
75.30179,12.13657
77.04205,8.38106
77.05285,8.34321
77.05285,8.34321
76.9502,8.49139
76.57853,9.39771
77.04205,8.38106
76.9502,8.49139
77.04205,8.38106
75.32595,12.0612
77.05285,8.34321
77.04205,8.38106
76.57853,9.39771
76.9502,8.49139
77.41336,28.50974
72.55435,23.03769
75.5911,11.59779
88.23503,22.57151
75.43054,11.82399
73.43845,20.80675
72.55435,23.03769
75.57842,11.62616
75.57842,11.62616
75.57842,11.62616
75.57842,11.62616
75.57842,11.62616
75.23263,12.16339
76.57853,9.39771
76.9502,8.49139
75.43054,11.82399
75.57842,11.62616
75.57842,11.62616
75.59146,11.60261
75.56056,11.77368
72.55435,23.03769
75.43054,11.82399
75.25374,12.16848
76.62436,9.3829
77.05285,8.34321
77.05285,8.34321
76.9502,8.49139
76.9502,8.49139
76.9502,8.49139
76.9502,8.49139
76.9502,8.49139
76.9502,8.49139
77.04205,8.38106
77.04205,8.38106
77.05285,8.34321
77.04205,8.38106
77.04205,8.38106
76.9502,8.49139
76.9502,8.49139
76.9502,8.49139
76.9502,8.49139
76.9502,8.49139
76.9502,8.49139
76.9502,8.49139
77.05285,8.34321
76.57853,9.39771
75.57842,11.62616
77.04205,8.38106
75.57842,11.62616
75.57842,11.62616
72.51795,23.03093
75.57842,11.62616
76.57853,9.39771
76.57853,9.39771
75.57842,11.62616
75.57842,11.62616
75.42908,11.82565
75.57842,11.62616
76.9502,8.49139
76.57853,9.39771
75.57842,11.62616
72.5538,23.03762
72.5538,23.03762
72.5538,23.03762
75.4267,11.83321
75.42908,11.82565
75.57842,11.62616
75.57842,11.62616
76.9502,8.49139
72.5538,23.03762
72.5538,23.03762
72.5538,23.03762
75.57842,11.62616
75.57842,11.62616
75.57842,11.62616
76.57853,9.39771
76.37677,10.11485
76.9502,8.49139
76.57853,9.39771
76.57853,9.39771
76.57853,9.39771
77.04205,8.38106
77.05285,8.34321
77.05285,8.34321
76.57853,9.39771
72.5538,23.03762
79.90528,22.47811
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
76.57853,9.39771
78.48006,11.65796
75.57842,11.62616
77.04205,8.38106
76.44449,9.78619
76.77346,9.18887
75.57842,11.62616
76.57853,9.39771
76.77346,9.18887
76.77346,9.18887
76.77346,9.18887
75.57842,11.62616
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
76.63548,9.69904
76.44449,9.78619
72.5538,23.03762
76.57853,9.39771
75.57842,11.62616
76.9502,8.49139
75.42978,11.82376
76.9502,8.49139
75.43054,11.82399
72.5538,23.03762
75.43054,11.82399
75.57842,11.62616
75.57842,11.62616
76.77137,9.18342
75.57842,11.62616
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
76.57853,9.39771
75.43054,11.82399
76.57853,9.39771
76.57853,9.39771
76.57853,9.39771
76.57853,9.39771
76.9502,8.49139
76.57853,9.39771
77.04205,8.38106
77.04205,8.38106
76.57853,9.39771
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
76.63548,9.69904
76.44449,9.78619
75.57842,11.62616
75.57842,11.62616
76.57853,9.39771
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.04205,8.38106
77.04205,8.38106
76.57853,9.39771
76.57853,9.39771
77.05285,8.34321
75.57842,11.62616
76.77346,9.18887
76.9502,8.49139
76.77346,9.18887
76.57853,9.39771
76.57853,9.39771
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
72.5538,23.03762
77.04205,8.38106
77.04205,8.38106
76.57853,9.39771
75.57842,11.62616
76.77137,9.18342
76.77137,9.18342
76.77137,9.18342
76.77137,9.18342
76.77137,9.18342
75.43054,11.82399
75.57842,11.62616
76.9502,8.49139
76.9502,8.49139
75.60019,11.59219
76.57853,9.39771
76.9502,8.49139
76.9502,8.49139
75.58019,11.93215
75.58019,11.93215
75.58019,11.93215
75.33827,12.12849
75.33827,12.12849
76.57853,9.39771
76.57853,9.39771
76.57853,9.39771
77.05285,8.34321
77.05285,8.34321
76.57853,9.39771
76.57853,9.39771
76.9502,8.49139
76.9502,8.49139
76.57853,9.39771
76.9502,8.49139
76.57853,9.39771
76.9502,8.49139
75.58019,11.93215
75.58019,11.93215
76.57853,9.39771
75.33827,12.12849
76.57853,9.39771
76.57853,9.39771
77.05285,8.34321
77.04205,8.38106
77.04205,8.38106
77.04205,8.38106
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
76.57853,9.39771
