Species Name,Endemicity Index
Alangium chinense,0.020833333333333332
Albizia procera,0.08333333333333333
Aphanamixis polystachya,0.041666666666666664
Artocarpus chama,0.020833333333333332
Bombax ceiba,0.1875
Casearia graveolens,0.020833333333333332
Celtis tetrandra,0.041666666666666664
Cephalanthus tetrandra,0.020833333333333332
Dillenia indica,0.020833333333333332
Duabanga grandiflora,0.020833333333333332
Dysoxylum gotadhora,0.020833333333333332
Elaeocarpus floribundus,0.020833333333333332
Elaeocarpus varunua,0.020833333333333332
Grewia asiatica,0.020833333333333332
Lagerstroemia hypoleuca,0.020833333333333332
Litsea glutinosa,0.020833333333333332
Litsea salicifolia,0.020833333333333332
Macaranga peltata,0.10416666666666667
Machilus glaucescens,0.020833333333333332
Magnolia pterocarpa,0.020833333333333332
Pterospermum acerifolium,0.020833333333333332
Schima wallichii,0.041666666666666664
Spondias pinnata,0.08333333333333333
Syzygium formosum,0.020833333333333332
Terminalia chebula,0.0625
Terminalia myriocarpa,0.041666666666666664
Tetrameles nudiflora,0.08333333333333333
Actinodaphne malabaricum,0.041666666666666664
Anacolosa densiflora,0.020833333333333332
Antidesma acidum,0.041666666666666664
Aporosa lindleyana,0.041666666666666664
Bauhinia malabarica,0.041666666666666664
Bridelia airy-shawii,0.041666666666666664
Careya arborea,0.08333333333333333
Casearia ovata,0.041666666666666664
Diospyros candolleana,0.020833333333333332
Diospyros oocarpa,0.020833333333333332
Dipterocarpus indicus,0.041666666666666664
Ficus drupacea,0.08333333333333333
Ficus religiosa,0.041666666666666664
Holigarna spp.,0.020833333333333332
Hopea parviflora,0.08333333333333333
humboldtia brunonis,0.020833333333333332
Hydnocarpus laurifolia,0.041666666666666664
Kingiodendron pinnatum,0.041666666666666664
Lagerstroemia hirsuta,0.041666666666666664
Meyna laxiflora,0.041666666666666664
Neolamarckia cadamba,0.041666666666666664
Persea macrantha,0.0625
Terminalia bellirica,0.10416666666666667
Xylia xylocarpa,0.10416666666666667
Ailanthus excelsa,0.020833333333333332
Bauhinia vahlii,0.020833333333333332
Bridelia retusa,0.0625
Buchanania cochinchinensis,0.020833333333333332
Dendrocalamus strictus,0.0625
Ficus infectoria,0.020833333333333332
Hymenodictyon orixense,0.020833333333333332
Terminalia elliptica,0.0625
Anogeissus acuminata,0.020833333333333332
Dalbergia paniculata,0.0625
Stereospermum suaveolens,0.041666666666666664
