longitude,latitude
95.926999,28.155702
77.97496,30.286517
77.9715,30.282434
80.702788,28.504358
80.702788,28.504358
78.245626,22.487116
77.916069,30.080235
78.158518,30.026968
78.158518,30.026968
86.265602,22.870851
80.702788,28.504358
78.739014,11.295588
80.702788,28.504358
78.394512,17.494638
78.394192,17.494563
78.389367,17.480745
78.477244,17.406498
78.410218,17.418077
78.573188,17.337907
78.574244,17.336892
73.828169,18.55595
73.889287,18.547426
73.889287,18.547426
73.889287,18.547426
73.53733,18.9278
73.792355,19.333472
73.684219,19.281789
73.358473,18.573906
73.793751,19.335132
73.358194,18.573652
73.684411,19.281439
73.357052,18.57406
73.793265,19.335428
73.505618,18.886863
73.4944,18.886341
73.413166,18.65857
73.686922,19.28162
73.493552,18.886134
73.710518,19.267906
73.412982,18.658947
73.474179,18.896497
73.566752,19.079679
73.711098,19.267739
73.792571,19.336708
73.567087,19.08045
73.412725,18.658486
73.567375,19.080075
73.338902,18.565959
73.431389,18.623826
73.34965,18.57321
73.567149,19.078776
73.485475,18.552406
73.413053,18.602668
73.784049,19.337469
73.350755,18.571708
73.413364,18.603793
73.484697,18.551283
73.41193,18.605983
73.567882,19.078909
73.339314,18.565875
73.488921,18.553575
73.685611,19.281807
73.566282,19.080799
73.412232,18.603798
73.430861,18.623434
73.48882,18.552937
73.417058,18.540196
73.686161,19.281672
73.488314,18.553462
73.78516,19.337191
73.552644,19.076706
73.339349,18.566452
73.340187,18.566002
73.793053,19.335706
73.550351,19.077639
73.354572,18.574486
73.711527,19.267309
73.552622,19.077239
83.115151,19.697577
75.665355,12.903219
75.738186,12.424421
76.328062,10.058794
77.508423,27.186985
74.001914,15.723794
73.022591,26.33405
75.533512,21.042976
78.482574,17.414916
73.971428,15.749597
76.768278,11.104833
75.838647,25.231399
75.252462,12.956677
77.557671,12.93082
78.550391,17.421161
77.594922,14.673637
77.613137,12.994378
76.937917,10.358831
88.121476,23.64626
76.032313,25.321828
76.032119,25.327446
76.076356,25.313197
76.033932,25.325807
76.076356,25.313197
76.037559,25.308749
76.031394,25.330277
75.109605,27.620125
88.322409,22.528033
78.518856,17.407794
77.973552,30.283498
78.452939,17.403307
78.9001,14.588048
76.7726,8.75197
76.24655,10.3293
76.64503,10.14431
76.64503,10.14431
76.7726,8.75197
76.82438,8.61026
76.24655,10.3293
76.64503,10.14431
76.64503,10.14431
76.7965,9.98711
78.71131,11.5889
72.83726,18.97886
79.69112,22.71162
76.60099,9.17132
76.7726,8.75197
76.7726,8.75197
79.69112,22.71162
74.50785,15.83327
74.50785,15.83327
74.50785,15.83327
74.50785,15.83327
80.71655,22.47414
77.52678,12.92544
76.7965,9.98711
76.64503,10.14431
76.60099,9.17132
75.61127,11.63311
76.56428,9.38052
76.67378,10.81827
76.67378,10.81827
76.43758,26.06249
76.67378,10.81827
76.64503,10.14431
76.64503,10.14431
76.82438,8.61026
76.82438,8.61026
76.82438,8.61026
76.78704,9.26476
76.24655,10.3293
76.57853,9.39771
76.64503,10.14431
74.50785,15.83327
74.50813,15.83425
74.50813,15.83425
74.50813,15.83425
76.66459,8.95133
73.85626,18.49097
77.52678,12.92544
74.50785,15.83327
76.64503,10.14431
77.05285,8.34321
77.05285,8.34321
76.7726,8.75197
77.05285,8.34321
76.64503,10.14431
75.57842,11.62616
77.05285,8.34321
76.57853,9.39771
76.64503,10.14431
77.57821,13.06719
73.84106,18.51977
77.05285,8.34321
80.75019,22.40018
80.49939,22.19865
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
80.75019,22.40018
77.05285,8.34321
77.57821,13.06719
77.57687,13.0677
76.12765,10.3564
76.37636,11.00171
80.75019,22.40018
77.57687,13.0677
76.60099,9.17132
76.57233,10.15262
76.7965,9.98711
76.74994,9.97712
76.64503,10.14431
76.64503,10.14431
76.7726,8.75197
75.49703,11.80741
77.57687,13.0677
76.57233,10.15262
79.80675,11.98704
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
76.48041,10.58608
76.53145,9.61832
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
76.82438,8.61026
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
80.50551,23.00097
80.50551,23.00097
80.50551,23.00097
76.00549,11.89869
77.05285,8.34321
77.11067,8.52064
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
76.64503,10.14431
77.05285,8.34321
77.05285,8.34321
80.47854,23.01901
80.47854,23.01901
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
77.05285,8.34321
