longitude,latitude,annual_mean_temperature,mean_diurnal_range,isothermality,temperature_seasonality,max_temperature_warmest_month,min_temperature_coldest_month,temperature_annual_range,mean_temperature_wettest_quarter,mean_temperature_driest_quarter,mean_temperature_warmest_quarter,mean_temperature_coldest_quarter,annual_precipitation,precipitation_wettest_month,precipitation_driest_month,precipitation_seasonality,precipitation_wettest_quarter,precipitation_driest_quarter,precipitation_warmest_quarter,precipitation_coldest_quarter,aridity_index,topsoil_ph,subsoil_ph,topsoil_texture,subsoil_texture,elevation
78.32,33.1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.1875,0.0,0.011001100110011002,0.0,1.0,0.0,1.0,0.0,1.0
77.95,33.35,0.038834951456310676,0.972972972972973,0.0,1.0,0.05392156862745098,0.02522935779816514,1.0,0.05392156862745098,0.036312849162011177,0.05,0.022388059701492536,0.0,0.0,0.16666666666666666,0.0,0.0,0.1796875,0.0,0.010726072607260726,0.0,1.0,0.0,1.0,0.0,0.9972837442540744
77.82,33.47,0.0,0.918918918918919,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.025210084033613446,0.0,0.171875,0.0,0.008525852585258526,0.0028328611898017,1.0,0.0,1.0,0.0,1.0
86.116667,28.416667,0.115625,1.0,0.40540540540540543,0.6323414252153484,0.0,0.12080536912751678,0.7545126353790613,0.0,0.043596730245231606,0.004347826086956522,0.1774580335731415,0.03824415975885456,0.04340836012861737,0.03333333333333333,0.6638655462184874,0.044769085768143264,0.1015625,0.1856581532416503,0.0049504950495049506,0.08598770123678574,0.8289474039196643,0.0,1.0,0.0,0.9719664415797012
77.0,33.0,0.0,0.5333333333333333,0.0,0.9386583137561995,0.0,0.0,0.8808664259927798,0.0,0.0,0.0,0.0,0.024302938960060288,0.00964630225080386,0.26666666666666666,0.025210084033613446,0.012488218661639962,0.28125,0.043222003929273084,0.015676567656765675,0.0764872521246459,0.0,0.0,0.0,0.0,1.0
77.67,34.0,0.3681159420289855,0.9111111111111111,0.15,1.0,0.5775193798449613,0.22489082969432314,1.0,0.0,0.2950391644908616,0.5038167938931297,0.26376146788990823,0.0009419743782969103,0.0,0.13333333333333333,0.04201680672268908,0.0,0.1484375,0.0,0.012651265126512651,0.0,0.8684210509804807,0.9333333333333333,1.0,0.75,0.6160796607044071
77.52,33.77,0.1072463768115942,0.7444444444444445,0.05,1.0,0.22868217054263565,0.04585152838427948,0.9724137931034482,0.3753943217665615,0.07571801566579635,0.17938931297709923,0.06192660550458716,0.0,0.0,0.13333333333333333,0.008403361344537815,0.0,0.140625,0.002898550724637681,0.007150715071507151,0.01147345057196517,1.0,0.0,1.0,0.0,0.8679697584362899
78.35,33.21,0.0927536231884058,0.8444444444444444,0.125,0.9627518053971874,0.2054263565891473,0.03275109170305677,0.9724137931034482,0.3501577287066246,0.05221932114882506,0.15267175572519084,0.06422018348623854,0.008617459722742601,0.006406833956219968,0.16666666666666666,0.08403361344537816,0.0056364490371066224,0.171875,0.025120772946859903,0.00935093509350935,0.006487963121051733,1.0,0.0,1.0,0.0,0.8969205236953716
77.58,34.17,0.33043478260869563,0.9444444444444444,0.15,0.9988597491448119,0.5503875968992248,0.19213973799126638,1.0,0.6088328075709779,0.26370757180156656,0.4618320610687023,0.231651376146789,0.0,0.0,0.1,0.058823529411764705,0.0,0.09375,0.0,0.007425742574257425,0.0,1.0,0.0,1.0,0.0,0.650009219988936
78.23,33.21,0.04057971014492753,0.8,0.1,0.9595844419105537,0.12790697674418605,0.0,0.9328859060402684,0.29337539432176657,0.010443864229765013,0.08015267175572519,0.022935779816513763,0.012518684603886398,0.009594882729211088,0.16666666666666666,0.1092436974789916,0.008212106992022525,0.1796875,0.03285024154589372,0.0088008800880088,0.020427553444180523,1.0,0.0,1.0,0.0,0.9679144385026738
78.26,33.11,0.10434782608695652,0.8111111111111111,0.125,0.9403268719118206,0.20155038759689922,0.05228758169934641,0.9161073825503355,0.35331230283911674,0.06527415143603134,0.15648854961832062,0.0779816513761468,0.01569506726457399,0.00906183368869936,0.16666666666666666,0.06722689075630252,0.008446738620366025,0.1875,0.030917874396135265,0.011276127612761276,0.022734984730234137,1.0,0.0,1.0,0.0,0.8884381338742393
78.21,32.58,0.06376811594202898,0.7333333333333333,0.1,0.8915494742176612,0.1124031007751938,0.04139433551198257,0.8557046979865772,0.29652996845425866,0.0391644908616188,0.08778625954198473,0.05963302752293578,0.03755605381165919,0.020788912579957356,0.26666666666666666,0.10084033613445378,0.021586109807602064,0.296875,0.07922705314009662,0.017326732673267328,0.05517475398710553,0.8684210509804807,0.9333333333333333,1.0,0.75,0.9125945048865941
77.75,35.25,0.04927536231884058,0.8,0.025,1.0,0.2248062015503876,0.0,1.0,0.35646687697160884,0.0,0.14885496183206107,0.0,0.0,0.0,0.03333333333333333,0.29411764705882354,0.0,0.046875,0.0,0.0019251925192519251,0.0,1.0,0.0,1.0,0.0,0.8860409367508759
